['ms0.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 280']
['ms1.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 189']
['ms2.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 310']
['ms3.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 237']
['ms4.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 138']
['ms5.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 6']
['ms6.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 24']
['ms7.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 57']
['ms8.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 20']
['ms9.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 139']
['ms10.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 71']
['ms11.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 167']
['ms12.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 277']
['ms13.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 115']
['ms14.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Mirollor Strogatz', 'Refract = 0.05', 'Epsilon = 0.3', 'B = 5', 'Start_phase = 95']
