['da0.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 188']
['da1.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 288']
['da2.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 251']
['da3.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 183']
['da4.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 76']
['da5.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 166']
['da6.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 105']
['da7.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 342']
['da8.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 192']
['da9.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 107']
['da10.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 263']
['da11.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 343']
['da12.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 106']
['da13.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 135']
['da14.csv', 'Type = DelayAdvance', 'Function = Wang Sync Simple', 'Refract = 0.05', 'Coupling Strength = 0.7', 'Start_phase = 89']
