['prskn0.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =188']
['prskn1.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =288']
['prskn2.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =251']
['prskn3.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =183']
['prskn4.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =76']
['prskn5.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =166']
['prskn6.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =105']
['prskn7.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =342']
['prskn8.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =192']
['prskn9.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =107']
['prskn10.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =263']
['prskn11.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =343']
['prskn12.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =106']
['prskn13.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =135']
['prskn14.csv', 'Type = Mirollor Strogatz (-ish)', 'Function = Peskin', 'Refract =0.05', 'Epsilon =0.05', 'Gamma =3', 'Start_phase =89']
