Timestamp,Phase,Angle,Ping?
1595477229.0003178,0.0,0,0
1595477229.0003357,-1359.720733146282,0,0
1595477229.0003545,-1359.72208927116,0,0
1595477229.0003622,-1359.7226385875663,0,0
1595477229.0003688,-1359.7231192394217,0,0
1595477229.0003784,-1359.7238058849296,0,0
1595477229.000385,-1359.724286536785,0,0
1595477229.0003924,-1359.7248186870536,0,0
1595477229.0003994,-1359.7253165050467,0,0
1595477229.0004075,-1359.7259001537284,0,0
1595477229.0004144,-1359.7263979717216,0,0
1595477229.000421,-1359.726878623577,0,0
1595477229.000428,-1359.7273764415702,0,0
1595477229.0004346,-1359.7278570934257,0,0
1595477229.0004416,-1359.7283549114188,0,0
1595477229.0004482,-1359.7288355632743,0,0
1595477229.000462,-1359.7298311992606,0,0
1595477229.00047,-1359.7303976818046,0,0
1595477229.000477,-1359.7309126659354,0,0
1595477229.000484,-1359.7314104839286,0,0
1595477229.000491,-1359.7319083019217,0,0
1595477229.0004976,-1359.7323889537772,0,0
1595477229.0005045,-1359.7328867717704,0,0
1595477229.0005112,-1359.7333674236259,0,0
1595477229.0005178,-1359.7338480754813,0,0
1595477229.0005248,-1359.7343458934745,0,0
1595477229.0005324,-1359.7348952098807,0,0
1595477229.0005393,-1359.735393027874,0,0
1595477229.0005462,-1359.735890845867,0,0
1595477229.000553,-1359.7363714977225,0,0
1595477229.0005596,-1359.736852149578,0,0
1595477229.0005665,-1359.7373499675712,0,0
1595477229.0005732,-1359.7378306194266,0,0
1595477229.0005898,-1359.7390322490653,0,0
1595477229.0005972,-1359.7395643993339,0,0
1595477229.0006042,-1359.740062217327,0,0
1595477229.0006118,-1359.7406115337333,0,0
1595477229.0006187,-1359.7411093517264,0,0
1595477229.0006256,-1359.7416071697196,0,0
1595477229.0006325,-1359.7421049877128,0,0
1595477229.0006392,-1359.7425856395682,0,0
1595477229.0006697,-1359.7447829051932,0,0
1595477229.000677,-1359.7453150554618,0,0
1595477229.0006838,-1359.7457957073173,0,0
1595477229.0006907,-1359.7462935253104,0,0
1595477229.0006976,-1359.7467913433036,0,0
1595477229.0007057,-1359.7473749919852,0,0
1595477229.0007234,-1359.7486452861747,0,0
1595477229.0007303,-1359.7491431041678,0,0
1595477229.0007372,-1359.749640922161,0,0
1595477229.0007439,-1359.7501215740165,0,0
1595477229.0007508,-1359.7506193920096,0,0
1595477229.0007575,-1359.751100043865,0,0
1595477229.0007641,-1359.7515806957206,0,0
1595477229.000771,-1359.7520785137137,0,0
1595477229.0007777,-1359.7525591655692,0,0
1595477229.0007846,-1359.7530569835624,0,0
1595477229.0007913,-1359.7535376354178,0,0
1595477229.0007982,-1359.754035453411,0,0
1595477229.0008059,-1359.7545847698173,0,0
1595477229.0008128,-1359.7550825878104,0,0
1595477229.0008194,-1359.755563239666,0,0
1595477229.0008261,-1359.7560438915214,0,0
1595477229.0008342,-1359.756627540203,0,0
1595477229.0008469,-1359.7575373455009,0,0
1595477229.0008538,-1359.758035163494,0,0
1595477229.0008607,-1359.7585329814872,0,0
1595477229.0008674,-1359.7590136333426,0,0
1595477229.0008743,-1359.7595114513358,0,0
1595477229.000881,-1359.7599921031913,0,0
1595477229.0008879,-1359.7604899211844,0,0
1595477229.0008945,-1359.76097057304,0,0
1595477229.0009012,-1359.7614512248954,0,0
1595477229.000909,-1359.7620177074393,0,0
1595477229.000916,-1359.7625155254325,0,0
1595477229.0009227,-1359.762996177288,0,0
1595477229.0009294,-1359.7634768291434,0,0
1595477229.000936,-1359.763957480999,0,0
1595477229.0009427,-1359.7644381328544,0,0
1595477229.0009491,-1359.7649016185721,0,0
1595477229.0009575,-1359.7655024333915,0,0
1595477229.0009644,-1359.7660002513846,0,0
1595477229.000971,-1359.76648090324,0,0
1595477229.0009778,-1359.7669615550956,0,0
1595477229.0009847,-1359.7674593730887,0,0
1595477229.0009913,-1359.7679400249442,0,0
1595477229.0009978,-1359.768403510662,0,0
1595477229.0010045,-1359.7688841625175,0,0
1595477229.0010114,-1359.7693819805106,0,0
1595477229.00102,-1359.7699999614676,0,0
1595477229.0010269,-1359.7704977794608,0,0
1595477229.0010335,-1359.7709784313163,0,0
1595477229.0010402,-1359.7714590831717,0,0
1595477229.001047,-1359.7719397350272,0,0
1595477229.0010538,-1359.7724375530204,0,0
1595477229.0010602,-1359.7729010387382,0,0
1595477229.0010672,-1359.7733988567313,0,0
1595477229.0010738,-1359.7738795085868,0,0
1595477229.001082,-1359.7744631572684,0,0
1595477229.0010889,-1359.7749609752616,0,0
1595477229.0010955,-1359.775441627117,0,0
1595477229.0011024,-1359.7759394451102,0,0
1595477229.0011094,-1359.7764372631034,0,0
1595477229.0011158,-1359.7769007488212,0,0
1595477229.0011227,-1359.7773985668143,0,0
1595477229.0011294,-1359.7778792186698,0,0
1595477229.0016193,-1359.8131556316337,0,0
